Source,Description,Models,License,URL
Kaggle: IFC Sample Models,Assorted IFC files (from BIM Whale and others),184 IFC files,CC BY (Kaggle open dataset),https://www.kaggle.com/datasets/claytonmiller/example-ifc-file
KIT Open IFC Examples (Germany),IFC models (architecture & infrastructure) for research,5 (3 buildings + 1 bridge + 1 road),Free (attribution recommended),https://ifcwiki.org/index.php/KIT_IFC_Examples
LivingBIM Dataset (Zenodo),"As-designed BIM models, as-built point clouds, and panoramic images of an academic building.",n/a,Open Access (Recommended CC-BY 4.0),https://zenodo.org/records/7766787
Measured Survey 365 Revit Families,"Free Revit families for various building components (columns, doors, windows, etc.).",Multiple,Unspecified,https://measuredsurvey365.co.uk/category/revit-families/
Modelo.io Free Revit Project Files,"Diverse Revit project files covering residential, office, landscape, structural, HVAC, and other building types.",n/a,Unspecified,https://www.modelo.io/damf/article/2024/07/04/1254/10-free-revit-project-files-you-need-to-download-now
NIBS “Common BIM” Files (USA),"Sample BIM projects (e.g., Medical Clinic) from NIBS","4 projects (IFC, RVT, etc.)",Creative Commons (open use),https://www.wbdg.org/bim/cobie/common-bim-files
Open IFC Model Repository (University of Auckland),Well-analyzed IFC-based data files.,100+,Unspecified,http://openifcmodel.cs.auckland.ac.nz/
OpenDataBIM Cloud,"BIM datasets for various disciplines in.RVT,.IFC,.CSV,.DAE, XML, JSON formats.",n/a,Unspecified,https://www.opendatabim.cloud/
Q-CAD Revit Samples,Revit 3D sample project files (.rvt).,Multiple,Unspecified,https://q-cad.com/samples/revit-3d-samples/
Revit Sample Project Files (Autodesk),"Complete coordinated Revit projects from various disciplines (Architectural, Structural, MEP, Site, etc.).",Multiple,Autodesk Terms of Use,https://help.autodesk.com/view/RVT/2024/ENU/?guid=GUID-61EF2F22-3A1F-4317-B925-1E85F138BE88
Samples IFC - Models (Kaggle),Samples of IFC files for various use cases.,n/a,Unspecified,https://www.kaggle.com/datasets/sc0v1n0/ifc-samples-daa
Schependomlaan Dataset (NL),Extensive apartment building project (multi-discipline),49 IFC models,Creative Commons (open use),https://github.com/openBIMstandards/DataSetSchependomlaan
Selvaag/DDS Munkerud House,Residential house BIM model (Norway),1 IFC model,Open (for study; via public FTP),ftp://ftp.dds.no/
SIMAUD Datasets,"Revit (.RVT) and IFC datasets of an existing building (architecture, electrical, mechanical) with point cloud data.",Multiple,Copyright © 2010-2019 SimAUD,https://www.simaud.org/datasets/
SIMBIM.es Archicad Sample Projects,Links to download 'Hillside House' and 'S-Office' Archicad sample projects for personal use.,n/a,Graphisoft EULA,https://simbim.es/en/blog/post/archicad-sample-projects
"Statsbygg Tromsø (HITOS, Norway)",Univ. college campus models (arch & MEP systems),Multiple IFC models,Open government sample (buildingSMART FTP),ftp://ftp.buildingsmart.no/pub/ifcfiles/HITOS/
STEP Tools Sample IFC Data Files,Sample IFC data files in IFC2x3 and IFC4 formats.,Multiple,Unspecified,https://www.steptools.com/docs/stpfiles/ifc/
University of Manchester School of Architecture (Figshare),Digital representations (images and 3D scans) of student-created architectural models.,300+,Unspecified,https://figshare.manchester.ac.uk/b15archive
